sep=;
Series;Time;Value
Average mTimeConsum;2018-03-30T09:00:00+08:00;355.9896373056995
Average mTimeConsum;2018-03-30T09:20:00+08:00;448.47236180904525
Average mTimeConsum;2018-03-30T09:40:00+08:00;405.9132075471698
Average mTimeConsum;2018-03-30T10:00:00+08:00;427.8218623481781
Average mTimeConsum;2018-03-30T10:20:00+08:00;402.9341085271318
Average mTimeConsum;2018-03-30T10:40:00+08:00;373.4848484848485
Average mTimeConsum;2018-03-30T11:00:00+08:00;442.34599156118145
Average mTimeConsum;2018-03-30T11:20:00+08:00;450.0141509433962
Average mTimeConsum;2018-03-30T11:40:00+08:00;389.2116402116402
Average mTimeConsum;2018-03-30T12:00:00+08:00;507.359375
Average mTimeConsum;2018-03-30T12:20:00+08:00;502.89719626168227
Average mTimeConsum;2018-03-30T12:40:00+08:00;582.4825870646766
Average mTimeConsum;2018-03-30T13:00:00+08:00;515.5869565217391
Average mTimeConsum;2018-03-30T13:20:00+08:00;427.0769230769231
Average mTimeConsum;2018-03-30T13:40:00+08:00;447.7857142857143
Average mTimeConsum;2018-03-30T14:00:00+08:00;518.3765432098766
Average mTimeConsum;2018-03-30T14:20:00+08:00;454.1939393939394
Average mTimeConsum;2018-03-30T14:40:00+08:00;409.46590909090907
Average mTimeConsum;2018-03-30T15:00:00+08:00;478.11538461538464
Average mTimeConsum;2018-03-30T15:20:00+08:00;422.8989361702128
Average mTimeConsum;2018-03-30T15:40:00+08:00;451.7788944723618
Average mTimeConsum;2018-03-30T16:00:00+08:00;376.06635071090045
Average mTimeConsum;2018-03-30T16:20:00+08:00;461.62179487179486
Average mTimeConsum;2018-03-30T16:40:00+08:00;402.04329004329
Average mTimeConsum;2018-03-30T17:00:00+08:00;391.61878453038673
Average mTimeConsum;2018-03-30T17:20:00+08:00;500.8066037735849
Average mTimeConsum;2018-03-30T17:40:00+08:00;571.9533333333334
Average mTimeConsum;2018-03-30T18:00:00+08:00;462.2287581699346
Average mTimeConsum;2018-03-30T18:20:00+08:00;340.13966480446925
Average mTimeConsum;2018-03-30T18:40:00+08:00;505.3333333333333
Average mTimeConsum;2018-03-30T19:00:00+08:00;515.5816993464052
Average mTimeConsum;2018-03-30T19:20:00+08:00;427.11764705882354
Average mTimeConsum;2018-03-30T19:40:00+08:00;514.1485148514852
Average mTimeConsum;2018-03-30T20:00:00+08:00;426.5603448275862
